Canonical,English [Westron] {Rohirric},Sindarin [Ñoldorin] {Unknown/Other},Quenya [Khuzdul],Scale,Parent,Type,Icon,I page,S page,S,SL,L page,L,LL,Outstanding Issues,Location
pendlanthir-s,Stair Falls,Pendlanthir*,,6,Minhiriath,Water,RE,,"54,",X,1,45,X,6,redraw the region at high detail,"The river Sirannon, after the dam at the gate, that formed the pool of the watcher in the water lived"
argirith-s,High Pass,Argirith*,,5,Hithaiglir?,Location,TODO,,"56,76,",X,1,30,X,6
fangorn-s,Treebeard's Forest,Fangorn (beard oak),,5,Rhovanion,Forest,TODO,,"42,",X,1,34,X,4
harlond-s,South Harbor,Harlond,,5,Gondor,City/Haven,TODO,,"27,",X,1,23,X,5,,Southern Harbor of Minas Tirith
cair-andros-s,Ship of Long foam,Cair Andros,,5,Ithilien,City/Fortress,TODO,,"37,57",X,1,30,X,5
minas-tirith-s,Tower of the Guard,Minas Tirith,,6,Gondor,City/Fortress,TODO,,"25,",X,1,42,X,5
loeg-ningloron-s,Resting place of the Ring,Loeg Ningloron,,5,Rhovanion,Region,TODO,,"43,67",X,1,35,X,6,_oe_ should be spelled with <yanta> + o-tehta
dunharrow-e,Dunharrow,,,5,Rohan,Location,TODO,,"47,",X,1,38,X,6,,"On a cliff, path to paths of the dead, overlooking Harrowdale"
aglarond-s,Glittering Caves {Súthburg},Aglarond,,6,Deeping Coomb,Location/Cave,TODO,,"50,50",X,1,41,X,6
haudh-in-gwanur-s,Tomb of the Twins,Haudh-In-Gwanûr,,6,Gondor,Location,TODO,,"51,69",X,1,43,X,6
annon-caradhras-s,Redhorn Gate,Annon Caradhras*,,6,,,TODO,,"74,",X,1,47,X,6
pelennor-s,Fields of Pelennor (Fenced field of Middle-earth*),Pelennor,,5,Gondor,Region,TODO,,"32,",X,1,26,X,7
amon-craban-s,Ravenhill,Amon Craban*,,6,Erebor,Hills,TODO,,"55,",X,1,41,X,8,,A hill overlooking the river running on Erebor
athrad-iaur-s,Old Ford,Athrad Iaur,,5,Eriador,Crossing,X,,"17,",X,1,19,X,5
harlond-s,South Haven,Harlond,,5,Lhûn,City/Haven,X,,"5,39",X,1,32,X,5,,Lindon
